number,question,answer1,answer2,answer3,answer4,correctAnswer,partsWorld
1,Яка столиця Норвегії,Осло,Берн,Варшава,Гельсінкі,Осло,Європа
2,Яка столиця Болгарії,Будапешт,Бухарест,Софія,Київ,Софія,Європа
3,Яка столиця Швейцарії,Цюрих,Берн,Женева,Відень,Берн,Європа
4,Яка столиця Туреччини,Анкара,Стамбул,Тель-Авів,Копенгаген,Анкара,Європа
5,Яка столиця Бельгії,Брюссель,Амстердам,Страсбург,Мадрид,Брюссель,Європа
6,Яка столиця Монголії,Улан-Батор,Маскат,Сеул,Ділі,Улан-Батор,Азія
7,Яка столиця Узбекистану,Тайбей,Ташкент,Душанбе,Ділі,Ташкент,Азія
8,Яка столиця Сирії,Маніла,Ташкент,Ер-Ріяд,Дамаск,Дамаск,Азія
9,Яка столиця Омана,Катманду,Маскат,Мале,Бейрут,Маскат,Азія
10,Яка столиця Киргизстану,Бішкек,Бейрут,Сана,Ханой,Бішкек,Азія
11,Яка столиця Аргентини,Сукре,Сана,Буенос-Айрес,Осло,Буенос-Айрес,Південна Америка
12,Яка столиця Колумбії,Сеул,Богота,Кіто,Сантьяго,Богота,Південна Америка
13,Яка столиця Парагвая,Асунсьйон,Монтевідео,Каракас,Джорджтаун,Асунсьйон,Південна Америка
14,Яка столиця Еквадору,Парамарибо,Кіто,Сукре,Каракас,Кіто,Південна Америка
15,Яка столиця Перу,Сантьяго,Перу,Ліма,Каракас,Ліма,Південна Америка
16,Яка столиця Зімбабве,Хараре,Триполі,Зімбабве,Бамако,Хараре,Африка
17,Яка столиця Марокко,Абуджа,Преторія,Рабат,Туніс,Рабат,Африка
18,Яка столиця Замбії,Прая,Яунде,Лусака,Гітега,Лусака,Африка
19,Яка столиця Ефіопії,Хараре,Гітега,Аддис-Абеба,Аккра,Аддис-Абеба,Африка
20,Яка столиця Ліберії,Каїр,Джибуті,Банжул,Монровія,Монровія,Африка
